Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2015,FCA Italy,Alfa Romeo,4C,1.8,4,Automatic,24,34,28,Turbocharged,Automated Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,aston martin,Aston Martin Lagonda Ltd,V12 Vantage S,6,12,Automatic,12,18,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Automatic,14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Manual,13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Automatic,14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Manual,13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,aston martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Automatic,14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,aston martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Manual,13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Audi,R8,4.2,8,Automatic,14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Audi,R8,4.2,8,Manual,11,20,14,Naturally Aspirated,Manual,6,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Audi,R8,5.2,10,Automatic,13,22,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Audi,R8,5.2,10,Manual,12,19,14,Naturally Aspirated,Manual,6,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Audi,R8 Spyder,4.2,8,Automatic,14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Audi,R8 Spyder,4.2,8,Manual,11,20,14,Naturally Aspirated,Manual,6,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Audi,R8 Spyder,5.2,10,Automatic,13,22,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Audi,R8 Spyder,5.2,10,Manual,12,19,14,Naturally Aspirated,Manual,6,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Audi,TT Roadster quattro,2,4,Automatic,22,31,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Bentley,Continental GT3-R,4,8,Automatic,13,23,17,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,BMW,BMW,Z4 sDrive28i,2,4,Automatic,22,33,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,BMW,BMW,Z4 sDrive28i,2,4,Manual,22,34,26,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,BMW,BMW,Z4 sDrive35i,3,6,Automatic,17,24,20,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,BMW,BMW,Z4 sDrive35is,3,6,Automatic,17,24,20,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Bugatti,Veyron,8,16,Automatic,8,15,10,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2015,General Motors,Chevrolet,CORVETTE,6.2,8,Automatic,16,29,20,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,General Motors,Chevrolet,CORVETTE,6.2,8,Automatic,13,21,16,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,General Motors,Chevrolet,CORVETTE,6.2,8,Manual,17,29,21,Naturally Aspirated,Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,General Motors,Chevrolet,CORVETTE,6.2,8,Manual,15,22,18,Supercharged,Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,FCA US LLC,Dodge,Viper SRT,8.4,10,Manual,12,21,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",458 Italia,4.5,8,Automatic,13,17,15,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",458 Italia,4.5,8,Automatic,13,17,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",458 Speciale,4.5,8,Automatic,13,17,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",458 Speciale,4.5,8,Automatic,13,17,15,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",458 Speciale Spider,4.5,8,Automatic,13,17,15,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",458 Speciale Spider,4.5,8,Automatic,13,17,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",458 Spider,4.5,8,Automatic,13,17,15,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",458 Spider,4.5,8,Automatic,13,17,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",F12,6.3,12,Automatic,12,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Ferrari,"Ferrari North America, Inc.",F12,6.3,12,Automatic,11,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Two Seaters
2015,Honda,Honda,CR-Z,1.5,4,Automatic,36,39,37,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Two Seaters
2015,Honda,Honda,CR-Z,1.5,4,Manual,31,38,34,Naturally Aspirated,Manual,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Two Seaters
2015,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,3,6,Automatic,20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,3,6,Automatic,20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Jaguar Land Rover L,Jaguar,F-TYPE R Coupe,5,8,Automatic,16,23,18,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,3,6,Automatic,19,27,22,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe,3,6,Automatic,19,27,22,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Jaguar Land Rover L,Jaguar,F-TYPE V8 S Convertible,5,8,Automatic,16,23,18,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Lamborghini,Aventador Coupe,6.5,12,Automatic,11,18,13,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2015,Volkswagen Group of,Lamborghini,Aventador Roadster,6.5,12,Automatic,10,16,12,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2015,Volkswagen Group of,Lamborghini,Huracan,5.2,10,Automatic,14,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters
2015,Volkswagen Group of,Lamborghini,Veneno Roadster,6.5,12,Automatic,11,17,13,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters
2015,MAZDA,MAZDA,MX-5,2,4,Auto(S6),21,28,23,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Two Seaters
